4.81744375e-06,-21.31,72.53
5.680096551724137e-06,-21.62,47.99
4.5011272727272725e-06,-22.83,-50.16
4.560125806451614e-06,-23.12,-74.7
4.248810344827586e-06,-24.3,-172.86
5.181645454545454e-06,-24.87,138.06
5.057348484848485e-06,-25.45,88.98
4.730590625e-06,-26.3,15.36
3.816816129032258e-06,-26.57,-9.18
-999,-26.84,-33.72
4.808896774193549e-06,-27.39,-82.8
3.840827586206896e-06,-28.73,154.5
5.568862068965517e-06,-28.99,129.96
5.445396e-06,-29.26,105.42
1.0865846153846153e-06,-30.04,31.79
4.970383333333334e-06,-30.3,7.25
2.2166004347826086e-06,-30.55,-17.29
4.597310344827586e-06,-30.8,-41.83
4.279025e-06,-31.05,-66.37
3.670553333333333e-06,-31.3,-90.91
4.762228571428571e-06,-31.8,-140.0
5.827267999999999e-06,-32.53,146.37
5.017464e-06,-33.97,-0.89
4.668610714285714e-06,-34.67,-74.52
5.956363636363636e-06,-34.9,-99.07
5.1104e-06,-35.36,-148.16
4.4903e-06,-35.59,-172.7
4.435678260869565e-06,-35.81,162.75
4.751066666666666e-06,-36.04,138.21
1.880047619047619e-06,-36.26,113.66
4.580357692307693e-06,-36.49,89.11
4.662190909090909e-06,-36.71,64.56
4.058528571428571e-06,-36.93,40.02
5.549181818181818e-06,-37.37,-9.08
3.688995454545455e-06,-37.58,-33.62
2.567336e-06,-37.8,-58.17
4.342217857142857e-06,-38.01,-82.72
4.0083130434782604e-06,-38.65,-156.37
3.5586333333333335e-06,-39.07,154.53
5.5406590909090914e-06,-39.28,129.98
4.598391666666667e-06,-39.48,105.43
4.221322727272727e-06,-39.9,56.33
4.644691304347826e-06,-40.11,31.77
4.480219230769231e-06,-40.31,7.22
-999,-40.71,-41.88
4.522387499999999e-06,-41.7,-164.65
4.475881818181819e-06,-41.89,170.8
5.136022727272727e-06,-42.28,121.68
4.19842e-06,-42.47,97.13
4.749866666666667e-06,-42.86,48.01
4.547231818181818e-06,-43.05,23.45
3.659617391304348e-06,-43.24,-1.1
4.38125e-06,-43.42,-25.66
3.0907615384615382e-06,-43.8,-74.77
6.057354545454545e-06,-43.98,-99.33
3.101328e-06,-44.71,162.42
3.6912380952380956e-06,-44.89,137.86
3.7232217391304346e-06,-45.07,113.3
3.6781500000000005e-06,-45.25,88.74
