C2H2,0,125.53,66.28
C2H2_err,0,125.53,66.28
C2H6,2.911e-10,125.53,66.28
C2H6_err,3.11e-11,125.53,66.28
CCl2F2,2.713333333333333e-10,125.53,66.28
CCl2F2_err,5.523333333333333e-12,125.53,66.28
CCl3F,1.300414285714286e-10,125.53,66.28
CCl3F_err,2.434285714285714e-12,125.53,66.28
CCl4,0,125.53,66.28
CCl4_err,0,125.53,66.28
CF4,7.708571428571428e-11,125.53,66.28
CF4_err,4.167142857142858e-12,125.53,66.28
CH3Cl,3.1045714285714285e-10,125.53,66.28
CH3Cl_err,1.1107142857142858e-10,125.53,66.28
CH4,7.840388888888888e-07,125.53,66.28
CH4_err,1.4066111111111114e-08,125.53,66.28
CHF2Cl,1.4571249999999998e-10,125.53,66.28
CHF2Cl_err,2.06175e-11,125.53,66.28
ClONO2,6.9525e-10,125.53,66.28
ClONO2_err,6.13e-11,125.53,66.28
CO,5.168640400000001e-06,125.53,66.28
COF2,1.3827500000000002e-10,125.53,66.28
COF2_err,1.77775e-11,125.53,66.28
CO_err,1.1029751999999999e-07,125.53,66.28
dens,1.0757027049914286e+18,125.53,66.28
H2CO,0,125.53,66.28
H2CO_err,0,125.53,66.28
H2O,5.672545454545456e-06,125.53,66.28
H2O2,6.489999999999999e-11,125.53,66.28
H2O2_err,2.683333333333333e-11,125.53,66.28
H2O_err,1.1314545454545453e-07,125.53,66.28
HCl,1.67582e-09,125.53,66.28
HCl_err,9.1198e-11,125.53,66.28
HCN,1.7664444444444446e-10,125.53,66.28
HCN_err,1.1102222222222222e-11,125.53,66.28
HCOOH,0,125.53,66.28
HCOOH_err,0,125.53,66.28
HF,1.198e-09,125.53,66.28
HF_err,4.4415e-11,125.53,66.28
HNO3,4.8724545454545464e-09,125.53,66.28
HNO3_err,5.121818181818182e-11,125.53,66.28
HO2NO2,2.5815999999999996e-11,125.53,66.28
HO2NO2_err,2.9740000000000005e-11,125.53,66.28
N2,0.8075000000000001,125.53,66.28
N2O,1.04073125e-07,125.53,66.28
N2O5,9.984249999999999e-10,125.53,66.28
N2O5_err,1.2197142857142856e-11,125.53,66.28
N2O_err,1.2632499999999997e-09,125.53,66.28
N2_err,0.0347125,125.53,66.28
NO,8.397437340909092e-06,125.53,66.28
NO2,1.8494e-09,125.53,66.28
NO2_err,4.7225e-11,125.53,66.28
NO_err,2.3549440000000003e-07,125.53,66.28
O3,2.655478260869565e-06,125.53,66.28
O3_err,4.4297727272727264e-08,125.53,66.28
OCS,2.274125e-10,125.53,66.28
OCS_err,5.98125e-12,125.53,66.28
P,0.03111011142828572,125.53,66.28
SF6,5.44e-12,125.53,66.28
SF6_err,4.231428571428572e-13,125.53,66.28
T,281.31085714285706,125.53,66.28
T_fit,0.7714285714285715,125.53,66.28
z,71.21428571428572,125.53,66.28
