C2H2,0,3.79,63.64
C2H2_err,0,3.79,63.64
C2H6,0,3.79,63.64
C2H6_err,0,3.79,63.64
CCl2F2,2.8942142857142856e-10,3.79,63.64
CCl2F2_err,8.198571428571428e-12,3.79,63.64
CCl3F,1.4146e-10,3.79,63.64
CCl3F_err,3.914e-12,3.79,63.64
CCl4,0,3.79,63.64
CCl4_err,0,3.79,63.64
CF4,7.947999999999999e-11,3.79,63.64
CF4_err,6.1700000000000006e-12,3.79,63.64
CH3Cl,0,3.79,63.64
CH3Cl_err,0,3.79,63.64
CH4,6.809571428571429e-07,3.79,63.64
CH4_err,1.108285714285714e-08,3.79,63.64
CHF2Cl,1.3863333333333334e-10,3.79,63.64
CHF2Cl_err,2.2316666666666665e-11,3.79,63.64
ClONO2,7.44e-10,3.79,63.64
ClONO2_err,7.226666666666667e-11,3.79,63.64
CO,4.878278947368421e-06,3.79,63.64
COF2,0,3.79,63.64
COF2_err,0,3.79,63.64
CO_err,1.1971984210526317e-07,3.79,63.64
dens,9.110431470888892e+17,3.79,63.64
H2CO,0,3.79,63.64
H2CO_err,0,3.79,63.64
H2O,4.824235294117646e-06,3.79,63.64
H2O2,0,3.79,63.64
H2O2_err,0,3.79,63.64
H2O_err,1.3120588235294117e-07,3.79,63.64
HCl,1.6712500000000002e-09,3.79,63.64
HCl_err,1.7364166666666668e-10,3.79,63.64
HCN,1.8624285714285718e-10,3.79,63.64
HCN_err,1.3031428571428571e-11,3.79,63.64
HCOOH,0,3.79,63.64
HCOOH_err,0,3.79,63.64
HF,1.1494727272727273e-09,3.79,63.64
HF_err,6.098545454545455e-11,3.79,63.64
HNO3,6.0397499999999995e-09,3.79,63.64
HNO3_err,8.686249999999999e-11,3.79,63.64
HO2NO2,0,3.79,63.64
HO2NO2_err,0,3.79,63.64
N2,0,3.79,63.64
N2O,1.1060933333333332e-07,3.79,63.64
N2O5,2.71565e-10,3.79,63.64
N2O5_err,9.314e-12,3.79,63.64
N2O_err,1.1996916666666669e-09,3.79,63.64
N2_err,0,3.79,63.64
NO,3.9391978764705885e-06,3.79,63.64
NO2,2.0528333333333333e-10,3.79,63.64
NO2_err,1.2478333333333333e-11,3.79,63.64
NO_err,1.668950294117647e-07,3.79,63.64
O3,1.706161111111111e-06,3.79,63.64
O3_err,4.128117647058823e-08,3.79,63.64
OCS,0,3.79,63.64
OCS_err,0,3.79,63.64
P,0.02589165421111111,3.79,63.64
SF6,6.2200000000000006e-12,3.79,63.64
SF6_err,7.904e-13,3.79,63.64
T,279.5122222222222,3.79,63.64
T_fit,0.8148148148148148,3.79,63.64
z,71.22222222222223,3.79,63.64
