-999,66.28,125.53
-999,66.33,-45.76
-999,66.36,-168.13
-999,66.37,167.39
-999,66.39,69.47
1.7544000000000004e-10,66.41,-3.94
1.52275e-10,66.42,-77.39
-999,66.42,-101.87
2.4025e-10,66.43,-126.35
-999,66.43,-150.83
1.805e-10,66.44,135.72
-999,66.44,86.74
-999,66.45,62.26
5.545e-10,66.45,37.78
-999,66.46,-11.18
5.25e-11,66.46,-84.66
-999,66.47,-133.63
-999,66.47,103.91
2.22475e-10,66.46,54.92
-999,66.47,5.94
-999,66.46,-43.06
-999,66.46,-67.56
1.7754999999999997e-10,66.46,-92.05
2.01925e-10,66.45,-116.55
8.815000000000001e-10,66.44,120.95
9.393333333333334e-11,66.42,71.93
-999,66.39,-75.1
1.8460000000000001e-10,66.39,-99.61
-999,66.35,137.84
1.9290000000000003e-10,66.34,113.32
2.268e-10,66.31,64.28
-999,66.3,15.26
-999,66.29,-9.25
-999,66.26,-58.31
1.6879999999999998e-10,66.16,130.04
2.1432500000000003e-10,66.12,80.97
-999,66.06,-17.13
-999,65.74,23.83
-999,65.72,-0.71
-999,65.69,-25.26
-999,65.59,-98.92
-999,65.38,113.72
1.0545e-10,65.33,89.15
-999,65.13,-33.66
-999,65.08,-58.24
-999,65.04,-82.81
1.0545e-10,64.56,55.97
1.0545e-10,64.45,6.81
1.0545e-10,64.39,-17.78
9.393333333333334e-11,63.75,120.83
1.0545e-10,63.59,71.61
-999,63.25,-26.82
1.3795e-10,62.88,-125.29
-999,62.47,136.21
1.9862500000000002e-10,62.35,111.58
-999,62.01,37.69
8.256e-10,60.21,77.3
-999,57.84,116.71
-999,49.37,96.42
-999,49.01,71.74
-999,46.74,-76.28
-999,44.29,135.74
-999,40.29,-86.17
1.1611666666666668e-10,28.83,67.32
-999,21.44,82.91
9.691428571428571e-11,13.55,74.22
-999,10.47,-73.17
7.128571428571429e-11,5.43,41.27
4.445666666666667e-10,3.96,-32.37
9.722857142857143e-11,2.99,-81.46
7.237500000000001e-11,1.08,-179.63
6.179999999999999e-10,-0.83,82.2
-999,-3.14,-40.47
-999,-8.47,25.2
-999,-9.74,-48.37
-999,-10.16,-72.89
-999,-12.23,164.52
-999,-13.46,90.97
-999,-13.86,66.46
1.6917142857142859e-10,-15.05,-7.08
1.1115e-10,-15.44,-31.59
-999,-18.12,156.85
-999,-18.5,132.35
4.326666666666667e-11,-23.87,124.82
-999,-24.22,100.33
1.5408333333333332e-11,-32.03,-80.28
-999,-29.57,34.21
6.2575e-11,-28.81,-39.44
-999,-28.29,-88.54
-999,-28.03,-113.09
-999,-27.77,-137.64
-999,-27.51,-162.19
-999,-26.98,148.71
-999,-26.44,99.61
1.1001575e-10,-26.18,75.07
-999,-25.9,50.52
-999,-24.81,-47.67
-999,-23.4,-170.42
7.88e-11,-23.11,165.03
-999,-21.66,42.29
2.92e-10,-21.37,17.75
-999,-19.25,-154.09
6.616666666666666e-11,-18.0,107.72
-999,-17.69,83.17
-999,-15.76,-64.12
5.591428571428572e-11,-15.43,-88.67
-999,-14.76,-137.78
-999,-14.42,-162.33
6.726e-11,-12.72,74.93
-999,-12.38,50.38
-999,-12.03,25.83
4.175e-11,-10.26,-96.93
-999,-9.53,-146.04
-999,-8.8,164.86
-999,-8.43,140.31
5.55625e-11,-4.24,-129.79
1.9723750000000001e-10,-3.85,-154.35
